user_id,age_group,gender,occupation,primary_platform,daily_usage_hours,usage_frequency,trust_in_social_media,influencer_influence,feels_addicted,content_consumption_style,decision_influence_level,follows_travel_content,follows_entertainment,follows_educational,follows_business,visual_content_preference,engages_with_travel_posts,saves_travel_content,plans_trips_via_social_media,self_reported_travel_interest,preferred_travel_type
U00001,22-25,Male,Employed,TikTok,5+,Low,Low,Sometimes,Yes,Passive,Low,Yes,No,No,Yes,Medium,Sometimes,No,No,Low,Urban
U00002,18-21,Other,Employed,TikTok,<1,Low,Low,Yes,Yes,Interactive,Medium,Yes,No,Yes,Yes,Low,Often,No,Yes,High,Adventure
U00003,22-25,Male,Student,YouTube,3-5,High,Medium,No,Yes,Passive,Low,No,Yes,Yes,Yes,Medium,Often,Yes,No,High,Relaxation
U00004,22-25,Female,Employed,Facebook,<1,Medium,Medium,Yes,No,Passive,Low,No,No,Yes,No,High,Often,No,Yes,Medium,Adventure
U00005,18-21,Male,Employed,Instagram,5+,High,High,Sometimes,Yes,Interactive,High,No,Yes,No,No,High,Sometimes,Yes,Yes,High,Adventure
U00006,18-21,Female,Student,Instagram,<1,High,High,Yes,No,Interactive,Low,No,Yes,Yes,No,Low,Often,Yes,Yes,High,Relaxation
U00007,22-25,Male,Student,TikTok,1-2,High,Low,No,No,Passive,Medium,Yes,Yes,No,No,High,Often,Yes,Yes,High,Culture
U00008,22-25,Female,Student,TikTok,<1,Low,High,Yes,No,Interactive,Medium,No,No,Yes,Yes,Medium,Often,Yes,No,Low,Culture
U00009,18-21,Other,Student,TikTok,1-2,Low,High,Yes,No,Passive,High,No,Yes,Yes,Yes,Medium,Sometimes,No,No,Medium,Culture
U00010,18-21,Female,Student,TikTok,<1,Low,Medium,Yes,No,Passive,Low,No,No,Yes,No,Low,Rarely,No,No,Medium,Adventure
U00011,22-25,Female,Employed,TikTok,<1,Low,Medium,Yes,Yes,Interactive,High,Yes,No,No,No,Low,Sometimes,Yes,No,High,Adventure
U00012,22-25,Male,Employed,TikTok,5+,Medium,Medium,No,No,Passive,High,Yes,Yes,Yes,No,Low,Often,No,Yes,Medium,Urban
U00013,18-21,Female,Employed,TikTok,3-5,Medium,High,Yes,Yes,Interactive,Medium,Yes,Yes,Yes,No,Low,Often,No,Yes,Low,Culture
U00014,18-21,Female,Student,TikTok,5+,Low,High,Sometimes,Yes,Passive,Low,No,Yes,Yes,Yes,High,Often,Yes,Yes,Medium,Adventure
U00015,18-21,Male,Student,Instagram,5+,Low,Low,Yes,No,Interactive,Low,Yes,No,No,No,High,Rarely,No,Yes,High,Relaxation
U00016,18-21,Male,Employed,YouTube,5+,Low,High,Sometimes,Yes,Passive,Low,No,Yes,Yes,No,High,Sometimes,No,No,Medium,Urban
U00017,18-21,Other,Employed,YouTube,1-2,High,High,Yes,Yes,Passive,Low,Yes,No,Yes,Yes,Low,Sometimes,Yes,Yes,Medium,Relaxation
U00018,22-25,Male,Student,Instagram,3-5,High,High,No,No,Passive,Low,Yes,Yes,No,No,High,Often,No,Yes,High,Adventure
U00019,18-21,Female,Student,Instagram,1-2,Low,Medium,No,Yes,Passive,Medium,Yes,Yes,No,No,Medium,Sometimes,No,No,Low,Relaxation
U00020,18-21,Male,Employed,Facebook,1-2,Low,Low,No,No,Interactive,High,No,No,No,No,High,Rarely,Yes,Yes,High,Relaxation
U00021,18-21,Other,Student,TikTok,<1,Medium,Low,Sometimes,Yes,Interactive,Low,No,Yes,Yes,No,Low,Sometimes,No,Yes,Medium,Relaxation
U00022,22-25,Female,Student,Facebook,3-5,Medium,Low,No,No,Interactive,Medium,No,No,Yes,Yes,Medium,Rarely,No,No,Medium,Culture
U00023,22-25,Female,Student,Instagram,3-5,High,Medium,Yes,Yes,Passive,High,No,No,Yes,No,Medium,Often,Yes,Yes,Low,Urban
U00024,22-25,Female,Employed,YouTube,<1,High,Low,Yes,Yes,Passive,Medium,Yes,No,No,Yes,Low,Rarely,No,No,High,Urban
U00025,22-25,Male,Student,Facebook,3-5,Low,Low,Yes,No,Interactive,High,Yes,No,Yes,Yes,Low,Rarely,Yes,Yes,High,Relaxation
U00026,18-21,Male,Employed,YouTube,<1,Medium,High,No,Yes,Passive,High,No,Yes,Yes,Yes,High,Rarely,Yes,No,Low,Urban
U00027,22-25,Female,Student,Instagram,5+,Medium,High,No,No,Interactive,High,Yes,No,No,Yes,Medium,Often,Yes,Yes,Medium,Urban
U00028,18-21,Other,Student,TikTok,3-5,High,Low,No,Yes,Passive,Low,No,No,Yes,No,Low,Rarely,No,No,Low,Relaxation
U00029,18-21,Other,Student,Instagram,5+,High,Medium,Yes,No,Passive,Medium,Yes,No,Yes,Yes,Medium,Sometimes,No,No,Low,Culture
U00030,22-25,Other,Employed,YouTube,1-2,Low,Low,Yes,No,Passive,Low,Yes,No,Yes,No,High,Often,Yes,No,High,Adventure
U00031,18-21,Other,Student,TikTok,1-2,High,High,Sometimes,Yes,Passive,Medium,Yes,Yes,No,No,High,Often,Yes,No,High,Relaxation
U00032,22-25,Female,Student,Instagram,5+,Medium,High,No,Yes,Interactive,Medium,No,No,No,No,Medium,Rarely,Yes,Yes,High,Adventure
U00033,18-21,Male,Employed,Instagram,5+,High,High,Yes,No,Interactive,Low,Yes,Yes,No,No,High,Rarely,No,Yes,Medium,Culture
